training time (min:sec),HR,State
- 0:38,0.0,
- 0:37,,
- 0:36,,
- 0:35,,
- 0:34,,
- 0:33,,
- 0:32,,
- 0:31,,
- 0:30,,
- 0:29,,
- 0:28,,
- 0:27,,
- 0:26,,
- 0:25,,
- 0:24,,
- 0:23,,
- 0:22,,
- 0:21,,
- 0:20,,
- 0:19,,
- 0:18,87.0,
- 0:17,81.0,
- 0:16,81.0,
- 0:15,81.0,
- 0:14,81.0,
- 0:13,82.0,
- 0:12,81.0,
- 0:11,81.0,
- 0:10,81.0,
- 0:09,82.0,
- 0:08,81.0,
- 0:07,85.0,
- 0:06,82.0,
- 0:05,81.0,
- 0:04,84.0,
- 0:03,80.0,
- 0:02,79.0,
- 0:01,76.0,
0:00,79.0,0x0
0:01,76.0,0x2
0:02,79.0,0x2
0:03,80.0,0x2
0:04,80.0,0x2
0:05,80.0,0x2
0:06,80.0,0x2
0:07,80.0,0x2
0:08,81.0,0x2
0:09,81.0,0x2
0:10,81.0,0x2
0:11,84.0,0x2
0:12,84.0,0x2
0:13,84.0,0x2
0:14,85.0,0x2
0:15,86.0,0x2
0:16,86.0,0x2
0:17,83.0,0x2
0:18,84.0,0x2
0:19,83.0,0x2
0:20,88.0,0x2
0:21,95.0,0x2
0:22,98.0,0x2
0:23,96.0,0x2
0:24,96.0,0x2
0:25,96.0,0x2
0:26,84.0,0x2
0:27,83.0,0x2
0:28,85.0,0x2
0:29,85.0,0x2
0:30,86.0,0x2
0:31,86.0,0x2
0:32,86.0,0x2
0:33,86.0,0x2
0:34,86.0,0x2
0:35,87.0,0x2
0:36,87.0,0x2
0:37,86.0,0x2
0:38,86.0,0x2
0:39,86.0,0x2
0:40,85.0,0x2
0:41,85.0,0x2
0:42,84.0,0x2
0:43,84.0,0x2
0:44,84.0,0x2
0:45,84.0,0x2
0:46,85.0,0x2
0:47,85.0,0x2
0:48,85.0,0x2
0:49,85.0,0x2
0:50,86.0,0x2
0:51,86.0,0x2
0:52,86.0,0x2
0:53,87.0,0x2
0:54,87.0,0x2
0:55,87.0,0x2
0:56,87.0,0x2
0:57,87.0,0x2
0:58,86.0,0x2
0:59,87.0,0x2
1:00,86.0,0x2
1:01,86.0,0x2
1:02,86.0,0x2
1:03,85.0,0x2
1:04,86.0,0x2
1:05,85.0,0x2
1:06,85.0,0x2
1:07,85.0,0x2
1:08,85.0,0x2
1:09,85.0,0x2
1:10,85.0,0x2
1:11,84.0,0x2
1:12,85.0,0x2
1:13,85.0,0x2
1:14,85.0,0x2
1:15,85.0,0x2
1:16,84.0,0x2
1:17,85.0,0x2
1:18,84.0,0x2
1:19,84.0,0x2
1:20,83.0,0x2
1:21,83.0,0x2
1:22,83.0,0x2
1:23,83.0,0x2
1:24,83.0,0x2
1:25,83.0,0x2
1:26,83.0,0x2
1:27,83.0,0x2
1:28,83.0,0x2
1:29,83.0,0x2
1:30,83.0,0x2
1:31,83.0,0x2
1:32,84.0,0x2
1:33,84.0,0x2
1:34,84.0,0x2
1:35,84.0,0x2
1:36,85.0,0x2
1:37,86.0,0x2
1:38,86.0,0x2
1:39,86.0,0x2
1:40,86.0,0x2
1:41,86.0,0x2
1:42,86.0,0x2
1:43,86.0,0x2
1:44,85.0,0x2
1:45,85.0,0x2
1:46,85.0,0x2
1:47,85.0,0x2
1:48,85.0,0x2
1:49,85.0,0x2
1:50,85.0,0x2
1:51,85.0,0x2
1:52,86.0,0x2
1:53,85.0,0x2
1:54,98.0,0x2
1:55,98.0,0x2
1:56,98.0,0x2
1:57,99.0,0x2
1:58,98.0,0x2
1:59,93.0,0x2
2:00,86.0,0x2
2:01,87.0,0x2
2:02,87.0,0x2
2:03,87.0,0x2
2:04,94.0,0x2
2:05,100.0,0x2
2:06,98.0,0x2
2:07,99.0,0x2
2:08,99.0,0x2
2:09,100.0,0x2
2:10,92.0,0x2
2:11,87.0,0x2
2:12,93.0,0x2
2:13,93.0,0x2
2:14,95.0,0x2
2:15,96.0,0x2
2:16,96.0,0x2
2:17,97.0,0x2
2:18,97.0,0x2
2:19,97.0,0x2
2:20,89.0,0x2
2:21,89.0,0x2
2:22,90.0,0x2
2:23,89.0,0x2
2:24,88.0,0x2
2:25,88.0,0x2
2:26,87.0,0x2
2:27,87.0,0x2
2:28,86.0,0x2
2:29,86.0,0x2
2:30,88.0,0x2
2:31,88.0,0x2
2:32,88.0,0x2
2:33,87.0,0x2
2:34,87.0,0x2
2:35,87.0,0x2
2:36,89.0,0x2
2:37,86.0,0x2
2:38,88.0,0x2
2:39,90.0,0x2
2:40,89.0,0x2
2:41,89.0,0x2
2:42,90.0,0x2
2:43,89.0,0x2
2:44,87.0,0x2
2:45,101.0,0x2
2:46,101.0,0x2
2:47,99.0,0x2
2:48,101.0,0x2
2:49,104.0,0x2
2:50,89.0,0x2
2:51,88.0,0x2
2:52,88.0,0x2
2:53,90.0,0x2
2:54,91.0,0x2
2:55,91.0,0x2
2:56,91.0,0x2
2:57,89.0,0x2
2:58,91.0,0x2
2:59,86.0,0x2
3:00,88.0,0x2
3:01,88.0,0x2
3:02,88.0,0x2
3:03,88.0,0x2
3:04,87.0,0x2
3:05,88.0,0x2
3:06,88.0,0x2
3:07,90.0,0x2
3:08,103.0,0x2
3:09,105.0,0x2
3:10,103.0,0x2
3:11,104.0,0x2
3:12,106.0,0x2
3:13,96.0,0x2
3:14,90.0,0x2
3:15,89.0,0x2
3:16,90.0,0x2
3:17,92.0,0x2
3:18,88.0,0x2
3:19,91.0,0x2
3:20,99.0,0x2
