training time (min:sec),HR,State
- 0:46,0.0,
- 0:45,,
- 0:44,,
- 0:43,,
- 0:42,,
- 0:41,,
- 0:40,,
- 0:39,,
- 0:38,,
- 0:37,,
- 0:36,,
- 0:35,,
- 0:34,,
- 0:33,,
- 0:32,,
- 0:31,,
- 0:30,,
- 0:29,,
- 0:28,,
- 0:27,,
- 0:26,,
- 0:25,,
- 0:24,,
- 0:23,,
- 0:22,,
- 0:21,,
- 0:20,,
- 0:19,,
- 0:18,,
- 0:17,,
- 0:16,,
- 0:15,,
- 0:14,,
- 0:13,,
- 0:12,,
- 0:11,118.0,
- 0:10,130.0,
- 0:09,103.0,
- 0:08,98.0,
- 0:07,90.0,
- 0:06,88.0,
- 0:05,84.0,
- 0:04,79.0,
- 0:03,77.0,
- 0:02,89.0,
- 0:01,103.0,
0:00,105.0,0x0
0:01,100.0,0x2
0:02,101.0,0x2
0:03,92.0,0x2
0:04,85.0,0x2
0:05,82.0,0x2
0:06,75.0,0x2
0:07,83.0,0x2
0:08,89.0,0x2
0:09,90.0,0x2
0:10,90.0,0x2
0:11,90.0,0x2
0:12,90.0,0x2
0:13,90.0,0x2
0:14,90.0,0x2
0:15,90.0,0x2
0:16,99.0,0x2
0:17,106.0,0x2
0:18,96.0,0x2
0:19,84.0,0x2
0:20,84.0,0x2
0:21,84.0,0x2
0:22,61.0,0x2
0:23,57.0,0x2
0:24,52.0,0x2
0:25,55.0,0x2
0:26,53.0,0x2
0:27,56.0,0x2
0:28,87.0,0x2
0:29,100.0,0x2
0:30,94.0,0x2
0:31,94.0,0x2
0:32,94.0,0x2
0:33,94.0,0x2
0:34,94.0,0x2
0:35,94.0,0x2
0:36,94.0,0x2
0:37,94.0,0x2
0:38,94.0,0x0
0:39,,0x2
0:40,87.0,0x2
0:41,91.0,0x2
0:42,93.0,0x2
0:43,92.0,0x2
0:44,93.0,0x2
0:45,93.0,0x2
0:46,94.0,0x2
0:47,93.0,0x2
0:48,95.0,0x2
0:49,94.0,0x2
0:50,94.0,0x2
0:51,94.0,0x2
0:52,95.0,0x2
0:53,95.0,0x2
0:54,96.0,0x2
0:55,98.0,0x2
0:56,97.0,0x2
0:57,98.0,0x2
0:58,99.0,0x2
0:59,99.0,0x2
1:00,98.0,0x2
1:01,100.0,0x2
1:02,100.0,0x2
1:03,100.0,0x2
1:04,100.0,0x2
1:05,100.0,0x2
1:06,100.0,0x2
1:07,100.0,0x2
1:08,101.0,0x2
1:09,101.0,0x2
1:10,100.0,0x2
1:11,99.0,0x2
1:12,99.0,0x2
1:13,99.0,0x2
1:14,99.0,0x2
1:15,98.0,0x2
1:16,99.0,0x2
1:17,99.0,0x2
1:18,98.0,0x2
1:19,99.0,0x2
1:20,98.0,0x2
1:21,98.0,0x2
1:22,97.0,0x2
