training time (min:sec),HR,State
- 0:46,0.0,
- 0:45,,
- 0:44,,
- 0:43,,
- 0:42,,
- 0:41,,
- 0:40,,
- 0:39,,
- 0:38,,
- 0:37,,
- 0:36,,
- 0:35,,
- 0:34,,
- 0:33,,
- 0:32,,
- 0:31,,
- 0:30,,
- 0:29,,
- 0:28,,
- 0:27,,
- 0:26,,
- 0:25,,
- 0:24,,
- 0:23,,
- 0:22,,
- 0:21,,
- 0:20,91.0,
- 0:19,91.0,
- 0:18,91.0,
- 0:17,105.0,
- 0:16,105.0,
- 0:15,82.0,
- 0:14,82.0,
- 0:13,82.0,
- 0:12,82.0,
- 0:11,82.0,
- 0:10,82.0,
- 0:09,82.0,
- 0:08,82.0,
- 0:07,38.0,
- 0:06,38.0,
- 0:05,38.0,
- 0:04,38.0,
- 0:03,36.0,
- 0:02,85.0,
- 0:01,80.0,
0:00,90.0,0x0
0:01,90.0,0x2
0:02,90.0,0x2
0:03,90.0,0x2
0:04,90.0,0x2
0:05,90.0,0x2
0:06,90.0,0x2
0:07,90.0,0x2
0:08,90.0,0x2
0:09,90.0,0x2
0:10,90.0,0x2
0:11,89.0,0x2
0:12,89.0,0x2
0:13,89.0,0x2
0:14,89.0,0x2
0:15,96.0,0x2
0:16,85.0,0x2
0:17,85.0,0x2
0:18,85.0,0x2
0:19,85.0,0x2
0:20,80.0,0x2
0:21,93.0,0x2
0:22,89.0,0x2
0:23,89.0,0x2
0:24,89.0,0x2
0:25,89.0,0x2
0:26,92.0,0x2
0:27,89.0,0x2
0:28,79.0,0x2
0:29,78.0,0x2
0:30,78.0,0x2
0:31,78.0,0x2
0:32,78.0,0x2
0:33,97.0,0x2
0:34,96.0,0x2
0:35,96.0,0x2
0:36,99.0,0x2
0:37,81.0,0x2
0:38,81.0,0x2
0:39,81.0,0x2
0:40,77.0,0x2
0:41,75.0,0x2
0:42,74.0,0x2
0:43,89.0,0x2
0:44,89.0,0x2
0:45,89.0,0x2
0:46,89.0,0x2
0:47,89.0,0x2
0:48,89.0,0x2
0:49,89.0,0x2
0:50,89.0,0x2
0:51,89.0,0x2
0:52,90.0,0x2
0:53,90.0,0x2
0:54,90.0,0x2
0:55,95.0,0x2
0:56,98.0,0x2
0:57,98.0,0x2
0:58,98.0,0x2
0:59,98.0,0x2
1:00,98.0,0x2
1:01,98.0,0x2
1:02,98.0,0x2
1:03,91.0,0x2
1:04,91.0,0x2
1:05,91.0,0x2
1:06,91.0,0x2
1:07,91.0,0x2
1:08,91.0,0x2
1:09,91.0,0x2
1:10,91.0,0x2
1:11,91.0,0x2
1:12,90.0,0x2
1:13,90.0,0x2
1:14,90.0,0x2
1:15,90.0,0x2
1:16,90.0,0x2
1:17,90.0,0x2
1:18,90.0,0x2
1:19,90.0,0x2
1:20,90.0,0x2
