training time (min:sec),HR,State
- 3:08,0.0,
- 3:07,,
- 3:06,,
- 3:05,,
- 3:04,,
- 3:03,,
- 3:02,,
- 3:01,,
- 3:00,,
- 2:59,,
- 2:58,,
- 2:57,,
- 2:56,,
- 2:55,,
- 2:54,,
- 2:53,,
- 2:52,,
- 2:51,,
- 2:50,,
- 2:49,,
- 2:48,,
- 2:47,,
- 2:46,,
- 2:45,,
- 2:44,,
- 2:43,,
- 2:42,,
- 2:41,,
- 2:40,,
- 2:39,,
- 2:38,,
- 2:37,85.0,
- 2:36,85.0,
- 2:35,85.0,
- 2:34,85.0,
- 2:33,85.0,
- 2:32,84.0,
- 2:31,84.0,
- 2:30,84.0,
- 2:29,83.0,
- 2:28,83.0,
- 2:27,83.0,
- 2:26,83.0,
- 2:25,83.0,
- 2:24,85.0,
- 2:23,85.0,
- 2:22,86.0,
- 2:21,87.0,
- 2:20,87.0,
- 2:19,88.0,
- 2:18,88.0,
- 2:17,88.0,
- 2:16,88.0,
- 2:15,87.0,
- 2:14,87.0,
- 2:13,86.0,
- 2:12,86.0,
- 2:11,86.0,
- 2:10,87.0,
- 2:09,87.0,
- 2:08,87.0,
- 2:07,88.0,
- 2:06,88.0,
- 2:05,87.0,
- 2:04,86.0,
- 2:03,86.0,
- 2:02,85.0,
- 2:01,85.0,
- 2:00,85.0,
- 1:59,85.0,
- 1:58,85.0,
- 1:57,85.0,
- 1:56,85.0,
- 1:55,85.0,
- 1:54,85.0,
- 1:53,86.0,
- 1:52,86.0,
- 1:51,87.0,
- 1:50,87.0,
- 1:49,88.0,
- 1:48,89.0,
- 1:47,89.0,
- 1:46,88.0,
- 1:45,89.0,
- 1:44,88.0,
- 1:43,88.0,
- 1:42,88.0,
- 1:41,87.0,
- 1:40,87.0,
- 1:39,86.0,
- 1:38,86.0,
- 1:37,86.0,
- 1:36,85.0,
- 1:35,85.0,
- 1:34,85.0,
- 1:33,85.0,
- 1:32,85.0,
- 1:31,85.0,
- 1:30,85.0,
- 1:29,85.0,
- 1:28,85.0,
- 1:27,86.0,
- 1:26,87.0,
- 1:25,87.0,
- 1:24,87.0,
- 1:23,86.0,
- 1:22,85.0,
- 1:21,85.0,
- 1:20,85.0,
- 1:19,85.0,
- 1:18,85.0,
- 1:17,85.0,
- 1:16,86.0,
- 1:15,86.0,
- 1:14,87.0,
- 1:13,86.0,
- 1:12,86.0,
- 1:11,86.0,
- 1:10,85.0,
- 1:09,85.0,
- 1:08,85.0,
- 1:07,85.0,
- 1:06,85.0,
- 1:05,85.0,
- 1:04,86.0,
- 1:03,86.0,
- 1:02,86.0,
- 1:01,87.0,
- 1:00,87.0,
- 0:59,87.0,
- 0:58,86.0,
- 0:57,85.0,
- 0:56,84.0,
- 0:55,84.0,
- 0:54,84.0,
- 0:53,84.0,
- 0:52,84.0,
- 0:51,84.0,
- 0:50,85.0,
- 0:49,85.0,
- 0:48,86.0,
- 0:47,86.0,
- 0:46,87.0,
- 0:45,87.0,
- 0:44,87.0,
- 0:43,88.0,
- 0:42,89.0,
- 0:41,89.0,
- 0:40,90.0,
- 0:39,90.0,
- 0:38,90.0,
- 0:37,90.0,
